13:54:49 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":137782239,\n"message":{"message_id":120,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657653795,"text":"\\u0410"}},{"update_id":137782240,\n"message":{"message_id":121,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657653797,"text":"\\u0411"}},{"update_id":137782241,\n"message":{"message_id":122,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657653799,"text":"\\u0426"}}]}'"
13:54:49 | DEBUG | start_polling: 395 | Received 3 updates.
13:54:49 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': '¿'}" and files "None"
13:54:50 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': '¡'}" and files "None"
13:54:50 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': '÷'}" and files "None"
13:54:50 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782242, 'timeout': 20}" and files "None"
13:54:50 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":123,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709690,"text":"\\u0410"}}'"
13:54:50 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":124,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709690,"text":"\\u0426"}}'"
13:54:50 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":125,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709690,"text":"\\u0411"}}'"
13:55:10 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
13:55:10 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782242, 'timeout': 20}" and files "None"
13:55:30 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
13:55:30 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782242, 'timeout': 20}" and files "None"
13:55:30 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":137782242,\n"message":{"message_id":126,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709730,"text":"\\u041e"}}]}'"
13:55:30 | DEBUG | start_polling: 395 | Received 1 updates.
13:55:30 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': 'Œ'}" and files "None"
13:55:30 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":127,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709730,"text":"\\u041e"}}'"
13:55:30 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782243, 'timeout': 20}" and files "None"
13:55:32 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":137782243,\n"message":{"message_id":128,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709732,"text":"\\u041e\\u0430"}}]}'"
13:55:32 | DEBUG | start_polling: 395 | Received 1 updates.
13:55:32 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': 'Œ‡'}" and files "None"
13:55:32 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":129,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709732,"text":"\\u041e\\u0430"}}'"
